model,kind,digit,index_in_kind,request_id,rlm_code_correct,rlm_nl_correct
Claude Haiku 4.5,add,12,12,67424443558cba7e741a6dd876f7b84b4d15f911c642941092e65075d2a5b027,True,True
Claude Haiku 4.5,activity_selector,6,3,24882e2c59d8d2f8aec368451dd60ee618d6c95063929408cee3313a8bf1cfa0,False,False
Claude Haiku 4.5,activity_selector,37,17,776a32fe4d07b18a9add30c4ce69b099c0fb49113965e4a31957b8fad2abe437,False,False
Claude Haiku 4.5,add,4,3,7112826326f74c9f6a5b6dccc2fd7d398416afa76973440da47294a1d1da39cb,True,True
Claude Haiku 4.5,activity_selector,31,15,531945ac5969869eaa1ce389d1792180dca557ddf638a8104d9148ab92ba3c6b,False,False
Claude Haiku 4.5,add,2,2,3f56e3fd83bea09c230af91609f11d8784e673092986f69c7c5e6e50bebb9a76,True,True
Claude Haiku 4.5,add,8,8,d8bf99e315e95f0c317bc18fa6dea5031cbf554ee6052a4ac4fd7e27c0c949fe,True,True
Claude Haiku 4.5,add,14,13,477e9a0ef6eef9d8d82c2a4c2befae103284f9343ff8665190a52086c6370d4f,True,True
Claude Haiku 4.5,activity_selector,20,11,85b544e08e7a31494318a5ac55470391b643a30efdd118f0a2ce82b91346757b,False,False
Claude Haiku 4.5,add,12,11,de197255fb80a7e1f12dbe55877074e451a9c494f392ac298925f58f98ae11a6,True,True
Claude Haiku 4.5,activity_selector,36,16,f4f5b709f90bcdc9aca05451ef6089674351a6997a26f9891a2021d36a6a851a,False,False
Claude Haiku 4.5,add,2,1,796b84bab8c845de13d09b844c1811c7b4e685deb2e7acac512c574bc7ebf675,True,True
Claude Haiku 4.5,activity_selector,18,9,dc8578228a37ff6426db1c5cbcc7e8ced8686e11377ad4b282c346cb57d1b6a4,False,False
Claude Haiku 4.5,activity_selector,26,13,cf75686ce4dcdc79f911d129df2cc1b4cac84cfec35cd790afb9f5dcfd2cab3d,False,False
Claude Haiku 4.5,add,14,14,57658facff01ab29f4f1ccd6ae3cfd541231a5dd288a21a1cde1702f9267b340,True,False
Claude Haiku 4.5,activity_selector,4,1,8d2caf38fb41e35cef47ba67c911fdb96c754b999f9212749e63ea4146bc38bd,False,False
Claude Haiku 4.5,activity_selector,5,2,e4e3deef1b3ddf227200f70b2d6bddc061057e9aa4b19d44b2af96736a87fda6,False,False
Claude Haiku 4.5,add,20,20,6d2108701c09b20770bdd0c9e8ff4ff79f4e4de582ebc3d3969bc023fd7defb9,True,True
Claude Haiku 4.5,add,16,15,550921201454789612cb317b5e8aa13fe4895ef83e70b302339c10bb6066cd31,True,True
Claude Haiku 4.5,add,18,18,e79d36dfda1b916a0a7f5b0afe79f93a2be057363f0fec84c67f629bfc03ef44,True,False
Claude Haiku 4.5,add,16,16,7212c234116a8fb71bf62985411b64a0fbc5f32897d5cda400a03c16bd216714,True,True
Claude Haiku 4.5,add,20,19,d40819076f75578ec0c0b6fcda8f29bef4fb3520cb14a167e367bc822b7e6c25,True,True
Claude Haiku 4.5,add,18,17,821946c2cdf512e75cb10bce4bc412c0e5351f10ba1bc0b8213cd3582685a666,True,True
Claude Haiku 4.5,articulation_points,8,5,1b8aa87c88f21bb6c5855f46b0adbea4373e7ab3bb7593f1847994fddad5199f,False,False
Claude Haiku 4.5,articulation_points,5,2,9b28c7c778530d6e410cbb9917f90f6874b3bd6f938e6800283599e6d3255273,False,False
Claude Haiku 4.5,articulation_points,9,6,41f7dd15ea1373a18aa55614a059e866d9138feb33db00d2649889ad24e72390,False,False
Claude Haiku 4.5,articulation_points,7,4,10343d07568e316ac5bec7570bd7c8fcca33cccd2d2616fbc02e9636f0dacfd3,False,False
Claude Haiku 4.5,articulation_points,4,1,6a8bb26dd77808560f92ccdd56b2055c0b757282658aa798267b09ea1c49fbe4,False,False
Claude Haiku 4.5,articulation_points,10,7,be6ed9fc78fba4f0fb1bb8b6217e7f018b6e83f76476fc45859f628a349c19b2,False,False
Claude Haiku 4.5,articulation_points,6,3,545c6a6e227abb64cddf09078a6d4903b83c286c74ec157d1a62cede8c2230f1,False,False
Claude Haiku 4.5,bellman_ford,10,1,b52c23a57492f1fc457e22679e11d4e1d44548f2126e32a773c143d7e964ee61,False,False
Claude Haiku 4.5,articulation_points,14,9,fce3f23864db9ffd5f49de536c215802f86bd3f08e81e3284e9c5580b22d1f9a,False,False
Claude Haiku 4.5,bellman_ford,16,5,1c1e3d174838b7240e752eb7d6598201d764b7e8f2b25ba30511ceb6dde6eec9,False,False
Claude Haiku 4.5,articulation_points,18,11,45842c86387d1283d8ba9771c46a1c0d2b54e5ba223e5b41b38cf18cc5381b27,False,False
Claude Haiku 4.5,articulation_points,13,8,62c3d5a6811d8186bad1185deebeddc91ef29dda9ec5d06740691dafb332f4b9,False,False
Claude Haiku 4.5,articulation_points,16,10,6597cf5f5f7139f62bd45b9d2afc0444f46977b126b4d5c5bb99f7d837f76e21,False,False
Claude Haiku 4.5,bellman_ford,21,7,e9d798b7c8f67fe5fb6444b40eb9c90a4fbb5d7b8c8b7cc902a8ff389ca2be30,False,False
Claude Haiku 4.5,bellman_ford,15,4,60435981a5277c47affdc510f80400e2e7bf27ea31ddf6585d8757138ceac7d3,False,False
Claude Haiku 4.5,bfs,5,2,1d2f94cbccb64955959ef2ef34afde3bb9fbb94b0a8750588d54768fee99fc2d,False,False
Claude Haiku 4.5,bellman_ford,14,3,b61ba1fe72ec4250f22119f95c0f13baf239a1b685c45df14da8eb20014656b6,False,False
Claude Haiku 4.5,bellman_ford,13,2,d7409c9c2c690dbd99eeeee35e5cb663aefcfaf31bc55d4827627405b6e9c7c3,False,False
Claude Haiku 4.5,bfs,4,1,0283c2f7b2ae3366a01a8e1f60e49e1e3a8ff3cfdf6c0df57ab52c05d7f32bc7,False,False
Claude Haiku 4.5,bellman_ford,22,8,59035d858f4ca0b34b87057c27e445e36189aa8cfbcdf90d4a726f92aea24be0,False,False
Claude Haiku 4.5,bellman_ford,24,10,6e53fe36f707ec555331b372f41d7782253e0908ac5958c35a3db7618cdc8867,False,False
Claude Haiku 4.5,bellman_ford,31,12,df3fd60bd27fc1f5d187fc7ae5faffc0acb16e0a48a2319d079b3b65c65c38e5,False,False
Claude Haiku 4.5,bellman_ford,23,9,436cb9199d9fd732abab95df9fb0be9c8be5fb2e317c3b975b60e29be3a8c4ea,False,False
Claude Haiku 4.5,bfs,6,3,ea7a9a1c5c82f4d380121f1ccba569d1a31217db738d185fb9cc004dcacf6898,False,False
Claude Haiku 4.5,bellman_ford,26,11,936529cd9e3949c62ab3ad746dae07faf3bb39507a9e74cf2ad5aba878493a6c,False,False
Claude Haiku 4.5,bellman_ford,18,6,12654c177bbed2280cf6c7a960687ea17bdd7ebe2346f8b9224de08d89749efd,False,False
Claude Haiku 4.5,bfs,22,11,271f34736c0a5556dd3bb12b6fd2e1a89d8d543ac498e5607b757d407ab50d55,False,False
Claude Haiku 4.5,bfs,23,12,8aa12de758f86ec6ca3a70c9cb77d38b93bd32da98fc5e581cb50f73177a9d4d,False,False
Claude Haiku 4.5,bfs,7,4,9b339d5b08bc654e6c663862f9cb8bf125186aadda1020aa99c0995b08c3b17a,False,False
Claude Haiku 4.5,bfs,15,8,7cbbebec1533f127d59d26985ca45f18ca771563dfd07ab026f60958a67bb1da,False,False
Claude Haiku 4.5,bfs,11,6,6a9c31acec04f150e076842b2a5059f0452bd6c86f7677f2a5e01755fb09886e,False,False
Claude Haiku 4.5,bfs,8,5,f0310b672752e554195d7ea590fc54d1bd549f4a240f4cf56872dc9449ba62a0,False,False
Claude Haiku 4.5,bfs,13,7,4255e6250ee2eb30ee738e8673a485fc289bbbcd6af64d4e641891167da8a9d9,False,False
Claude Haiku 4.5,bfs,25,14,a4784f10f3680d0855752f5b8cbc464a5fdaf6142ff79d368de5c767a4479443,False,False
Claude Haiku 4.5,bfs,19,10,ab56899fdb0a26ba899619e648fd37b424e9629cd7889b922b0fb08b10424711,False,False
Claude Haiku 4.5,bfs,17,9,d7c6303706d595c6b25cfa17524b805ad557be8ba079a5096e9db2f64b7b673c,False,False
Claude Haiku 4.5,binary_search,6,3,e39cc2f05cd8eb5d1d69516471f9f7144a8b7d8186b4b8fc6789ae68771f584b,True,False
Claude Haiku 4.5,bfs,24,13,54ea31754d35ca762ce24b8c9ba2d9b84690e0326518f654605aed20037c32b7,False,False
Claude Haiku 4.5,binary_search,25,11,e619e833c260f2c37d1ab7c6a85e3583566693b82cb751c48870d899502e5f68,True,True
Claude Haiku 4.5,binary_search,4,1,997b1d36b8e4ecad304142d5da0346e753745b57a2a22ef8775a881ccff63bf4,False,False
Claude Haiku 4.5,binary_search,10,4,a98ff30a906da939cb86173bbf98b6a8d15516b9be4dec4b58532b49c25b7be5,False,False
Claude Haiku 4.5,binary_search,17,7,f3c4960d9576c0d334879b0bf77932d6c1ab02983bcef3757be00ac67876a3ce,False,False
Claude Haiku 4.5,binary_search,5,2,ec9c2cfcfbdc2ee845a1268a6125f0a56533f799f65fdb909830714b0c4c036b,False,False
Claude Haiku 4.5,binary_search,19,8,b9058f85aeb39fb91f04f3ea0b6399a49669fed43024efa8296b89b3554bd3a7,True,True
Claude Haiku 4.5,binary_search,11,5,bd321485f3cb6bc07ff118be937cff5ac28e8dbc8dedbf991b6d9d67dcf29db7,False,False
Claude Haiku 4.5,bfs,39,16,4e3d05634a18aabce3fe2dbbdca3d30a6994bdf3017762e7cd4ed3777d4a7569,False,False
Claude Haiku 4.5,binary_search,26,12,80ad4fb8499fbfd8c1633ab61a0cbc295fe30e1d3c9675f3ff698feb30f83843,False,False
Claude Haiku 4.5,binary_search,29,14,f9a326927afda4ffa6c25c39e6422a1569dea96745509fbea8aebc4c71457f36,True,True
Claude Haiku 4.5,bfs,40,17,f1fdadeaa6cde3d857a1e802fac29b960ec9a99be1cb6f8107fb72c304b6f9ee,False,False
Claude Haiku 4.5,binary_search,22,10,c7a3dd76232c0354cd719fbd1bc8c70ef8d87394b683734c9d5301096b14f8fa,False,True
Claude Haiku 4.5,binary_search,27,13,0def5fc2887cf361f0349a019e978242d34908899a9698642ad3c558c6b8ccec,False,False
Claude Haiku 4.5,binary_search,16,6,e5339ede44e5aff2828ed664172fe35d6197a4bb3a49e2fde7ec06cdf328aadf,False,False
Claude Haiku 4.5,binary_search,20,9,cfbca6e114087f1f0e282ed09a040dfc11f6654d6f445a582afb1d5600468867,False,False
Claude Haiku 4.5,bfs,33,15,c88233e180a9113b015e6b51615f8d22e040a48e079976e678ff589ccd4f5979,False,False
Claude Haiku 4.5,bfs,41,18,d9becc267ea3aaa0ee52e7f61578793907cb5077a5929ac0afbe02b29182086d,False,False
Claude Haiku 4.5,binary_search,33,15,33a1f8045076086bade1d5a3cea7e9cc5e3f4af6e28ef502a44533f8e50118c2,True,True
Claude Haiku 4.5,binary_search,34,16,cfbf09aa31e085f067974daed79bb58a15a0741760edcb10b3e60ff7dd7a61ef,True,False
Claude Haiku 4.5,binary_search,37,17,dc92165f80ab9747a5103d948c853a93761f28cc4c69a87008239ddf9891f7aa,True,False
Claude Haiku 4.5,binary_search,49,25,e25d9fe96e61df528bd6caaba41684dca09d178bdd898d051b257384d3fa30c7,True,False
Claude Haiku 4.5,binary_search,38,18,baaebe09a4f88b23ddffcb9ec9118d3213bd69fe71ff8206252b71e49ccd291e,True,False
Claude Haiku 4.5,binary_search,47,24,9561f24ab52183a5d6c7dbae7395f39da7dc83be5769abe5445b6d4fa48948d3,False,False
Claude Haiku 4.5,binary_search,45,22,821c787585c0831466e8b1ba014174e641f516de86010bc32339691ea2a7c3f0,False,True
Claude Haiku 4.5,binary_search,41,19,b9cd2c5cf6b567a0003c9636299cedeb53a28e921e5db3c7c6433a28a7217285,True,True
Claude Haiku 4.5,binary_search,42,20,fd905dbc9ba55b0c4f92a12a5c0f0e8a0aaf0c7ea167a2694ed945d7511cfae2,False,False
Claude Haiku 4.5,binary_search,43,21,e4bb2f82a831ea5dd28f17db78821dc1f53cc9cced9aea3685415376282790b3,False,False
Claude Haiku 4.5,binary_search,46,23,a72c94878f933e78a7e8fa7cf7770203f35a6bab18f16995655fb443e9fe8035,False,False
Claude Haiku 4.5,binary_search,58,30,71278f31b26d1256270409862cab0113a3b64aa61ada098adcc6519513cf07de,True,False
Claude Haiku 4.5,binary_search,51,26,5a817939e44ab2af769c79b97539004edb0bd29a44d367702999d2800990f264,True,True
Claude Haiku 4.5,bridges,6,2,e6f8e4e50f5f2b6fa486f6a5de993a16c5f86a9e1be05ea4975ac574644ec898,False,False
Claude Haiku 4.5,binary_search,54,28,58e853cec4c7ffad7fc327de468488292cd037d932dd909561cddb5459579a7f,False,False
Claude Haiku 4.5,bridges,7,3,7ae379218e461797702246f3e7c9125933592cd5ff378398d30ddd21bfdf2b1e,False,False
Claude Haiku 4.5,bsp,0,3,9939e47bfd243a35686052bda7fd51283a4f988e991dbcdcb7e3940af6ead988,True,True
Claude Haiku 4.5,bsp,0,2,139b6b2d09e3bdd2e2c9b45769e8c1826c972bda6b796706a044eac296c9107b,True,True
Claude Haiku 4.5,bridges,5,1,07fd7755726f9ef8a1bd7ffa2ae0bd06abb4164f52f6ac3b7b62d79b35183c21,False,False
Claude Haiku 4.5,binary_search,57,29,1edc37d08da5151731f68768dd781a6632100403e0cbc355ecb528294e34f3a2,True,False
Claude Haiku 4.5,bsp,0,1,e79d70531f801c3733d00d7a35c7d0cc5ab3b89674ce60ef065118b043145ba3,True,True
Claude Haiku 4.5,bsp,0,6,2f58c0c54c1b2c5ce490c09ea0baeed2c73a1a4c01762372996c4eba445b7fa6,True,True
Claude Haiku 4.5,bsp,0,8,be79f28368aec7e12bb2ee6f1a439e4a0a6517032981b2d3ec2989c31f33a2eb,True,True
Claude Haiku 4.5,bsp,0,7,7f6edb502e0c43f7f0509b747fa1a992c169ad8bcdcf63dfe1028193dc99f64a,True,True
Claude Haiku 4.5,bsp,0,4,36e8eddb6a30a2b4d4d78c43daf998c3b00d8ecd195e675ccbde2b40815a6bc1,True,True
Claude Haiku 4.5,binary_search,63,31,3133250484eeef14cdcf7caf72ffa2ea7d1f7aa4f5cd7839603de71042332922,False,False
Claude Haiku 4.5,binary_search,53,27,a9917125021fb3535462c5c718af4c1f275010d7d71402b7d2202145a51e8516,False,False
Claude Haiku 4.5,bsp,0,5,bf5f6760904bd6f44741831b62f3b6d41c9b0714ae028dcf157e1afb8b1706a0,True,True
Claude Haiku 4.5,bsp,0,11,e56546ec90bce0e0c6cc2ebebfa331d398a67601d2468ae73dba3c104c04a219,True,True
Claude Haiku 4.5,bsp,0,9,17db5b246f58ac4daa08e806fc998746f9334bd70c53216cfd300da9ddb9295a,True,True
Claude Haiku 4.5,bsp,0,10,a0d595eedb8c90ac0c2b7eea09ce71e68414d605fa6393fad10461134ae5300c,True,True
Claude Haiku 4.5,bsp,0,13,05f1396f820392e64715c656245d1ae3b1e6b5f2aca7943a044e9a3a065577c4,True,True
Claude Haiku 4.5,bsp,0,14,49d5509b26bec44cfec1cb9122eab44fc8ff70f760d21582f18e157e00b6fb0f,True,True
Claude Haiku 4.5,bsp,0,15,a9c3f06a584b64d6d33f5b58232fb49766be148a8e157e4ceca829c2a924d1ae,True,True
Claude Haiku 4.5,bsp,0,12,13e52e6d1f990e77267131c118b72037b1d32e82790681c12d86ed8084c2352e,True,True
Claude Haiku 4.5,bubble_sort,5,1,917bc3dba97ae8786eb21380a81588b68263538d85543a0076e55beccf6cabe9,False,False
Claude Haiku 4.5,bubble_sort,7,2,1ceaaf8377be99b1ba3ea5426ffa586c5e766b5313dc51449c3b68190b339beb,False,False
Claude Haiku 4.5,dag_shortest_paths,5,2,e5f53f3461750cca2479efff4a4408fedddc7a53d68288528b74fdff7a8c5015,False,False
Claude Haiku 4.5,bubble_sort,8,3,c0caf0f330e06a40c19cbed3fd686a62a6c38dec06eaf4f7f6a2b0985a1ae3a2,False,False
Claude Haiku 4.5,dag_shortest_paths,7,4,12cd4d54e1da73e74c19fd229c9df55c2fa04b42de034a04741e29f70d943ed0,False,False
Claude Haiku 4.5,bubble_sort,11,5,33a895ba4a1cffac17b9ec59fa60051338cc899e786bed310d90b0b94cd8821a,False,False
Claude Haiku 4.5,bubble_sort,10,4,561d54c2698915ac83455da6c0a6e138dc9a885ccb1f79b4021bcb4fe88fa6ed,False,False
Claude Haiku 4.5,dfs,4,1,8680d8438bd6ac6efe0cb15ffe05e78bba36a1a096ae109d404cd8a1685dced2,False,False
Claude Haiku 4.5,dag_shortest_paths,6,3,32c13b83c82be68f15506a163af6797eac8dd7c7e4d8ad4b37d34a2d0963ef78,False,False
Claude Haiku 4.5,dag_shortest_paths,4,1,049eb4a640119589317100dd15ee3a51dd9179265fb0d86e0ff360a632e656a7,False,False
Claude Haiku 4.5,dag_shortest_paths,13,6,f5e77a1bae15c792dd3146c246c368f7958c3cb5f593e14f71b6bb82ff856bc3,False,False
Claude Haiku 4.5,dag_shortest_paths,14,7,81fc39e25df853bc4e71f3f264e4191a9a169b5a8eb694b98b55940fdc489452,False,False
Claude Haiku 4.5,dag_shortest_paths,19,9,623ce5352cf1e03998308f4b0d4428035c97702d59adbae1d802b21c86bcaafd,False,False
Claude Haiku 4.5,dfs,7,3,2d46689c2de39eb9de58c79cf4e160df25e58574eca4f92f16b5fe5c07e6b02d,False,False
Claude Haiku 4.5,dfs,18,8,4af4fdbcce4339d3284cbe2db0b2b305484de2b3129a6e0f58878349a4589062,False,False
Claude Haiku 4.5,dag_shortest_paths,10,5,30cfe347073f319d078d0fb4c51f113bb5cc707893b2fc47f93633fbeca61be5,False,False
Claude Haiku 4.5,dag_shortest_paths,15,8,3ade184bd5a17b6171b4b54993379923e94d80e9ba649346efbfc87887c43de4,False,False
Claude Haiku 4.5,dfs,10,4,5312a574ec03657443cd5d1d4bdd872f5efbe698d6f3137405006decca00d81c,False,False
Claude Haiku 4.5,dijkstra,4,1,4df1546b5a75d2aa78b92dc7e1ade723aae46670c16c5803f23f0c87631d7630,False,False
Claude Haiku 4.5,dfs,13,5,f9fa514d1bf5fa8ffcadc0ca11dcd7a64830d4f7e5ace3f785cd578989bbc124,False,False
Claude Haiku 4.5,dfs,15,6,039e95923b6939fd4c9ba81dafd6ce95a5ece8fbabcd5df65a3cbb6e53996f8d,False,False
Claude Haiku 4.5,dfs,5,2,3a348c183ee62e98f5061b6aac948e2eb578973412fa2be9e698de2c8dd341fd,False,False
Claude Haiku 4.5,dijkstra,19,4,3ec9ee1663f7f0b29409a1bab08bfa2109340e72da3a5ac3bb384cc09532ee5b,False,False
Claude Haiku 4.5,dfs,17,7,9e98291e19c0aca210b848e57554635003ffdd3c843dfa096227de92a51a46cb,False,False
Claude Haiku 4.5,dfs,20,10,5d78ad76170c61d93aac2eca81365f257ff96f1b5e55a266a087c8411383bcf1,False,False
Claude Haiku 4.5,dfs,19,9,206cda01188d5e9adb0c59494f54c1030bc8b126b9ddca7ed6197de10282df9f,False,False
Claude Haiku 4.5,dijkstra,5,2,9f417d98ab2a90256ed4327f1dede0e6e23f1f38a6735be05e2cfbf97d6c8c86,False,False
Claude Haiku 4.5,dijkstra,6,3,7c6df0ee88b0fe4e2f850d41e182b1f059d76b9f5b5db3cc3a3725d5eee50275,False,False
Claude Haiku 4.5,dijkstra,23,6,d4efae50185aac31cdac5919dbeb80a5da8be33d3a4b802de50f32d74c335c7c,False,False
Claude Haiku 4.5,dijkstra,22,5,69dc277678f76c2ccfe9c090402eeedd3d5cd9246b86ea6e38ce688a07bcfed5,False,False
Claude Haiku 4.5,dijkstra,25,7,a4c6025ffebd2b967b7be47600bda98afb5ce82876d1840c6cda1b6c4db20c0c,False,False
Claude Haiku 4.5,edp,0,1,aa0959d0ed787653e2d716c9baa26ed5ba6d11b3476211b2fbe9b49cc5706b9a,True,True
Claude Haiku 4.5,edp,0,2,8860f4f58e1febbd64668659d61d45cba3b06bcd69ae5c5c9826ebaec135ea65,False,False
Claude Haiku 4.5,edp,0,3,07e60f953b530b72d75db95394abf026912ad07e8f767fa8f5db79fa0d742182,True,True
Claude Haiku 4.5,edp,0,8,1b0b6cfbd760766b40aa4d075817c06bf730fdbcf6705f6fffbb88a384e573fb,True,True
Claude Haiku 4.5,edp,0,4,232613b9fa49825a0e0735f0bea2ce895ae2df42691ece26e50e7903914c0f22,True,True
Claude Haiku 4.5,edp,0,5,9bad5d27f20a1b082c3f81eab4175a84a76608def7c80c7a4b879dc7acaf4f68,False,False
Claude Haiku 4.5,edp,0,7,9353bed5df2d417ad105a9b7454cf7b1f5134f91d5068333d48b777bd6e596f9,True,True
Claude Haiku 4.5,edp,0,12,39893b78bacbf491f63d2bfc9f97d7fdb1a135a8ed06f3b02ecdf99ca73f203d,True,True
Claude Haiku 4.5,edp,0,6,9c1f8b9a9b80b4c71915fcd5a084a5e2aa649a27a7bcb5ef5c26279f9a74a656,True,True
Claude Haiku 4.5,edp,0,11,430ef340d0812b2ff4a72417b4e5f62f6340b503c9fda67ed4571fd1446e2770,False,True
Claude Haiku 4.5,edp,0,9,e256a5625d85d8c339b2992343a257ae247f8db7625575b01c186a92f8a5c048,True,True
Claude Haiku 4.5,edp,0,13,7659abdf122998d29a73634d1adeedc3358083e973ca4585747286b4954a2428,False,False
Claude Haiku 4.5,edp,0,10,6f5e714d04c1a2fba65a167d073d4dd7583f30135f7d4bb767462fecda75f4d8,True,True
Claude Haiku 4.5,find_maximum_subarray_kadane,18,4,81d731cbff3a94cd5741477ebc8c67c86e3da1a289de0697d9ba13f32b774b1e,False,False
Claude Haiku 4.5,edp,0,14,648e6f7afbe811acb06d893c3ad09abff01ac36fe9c71e09f9cdb0e15dfc6020,True,True
Claude Haiku 4.5,edp,0,15,43035a2a2fdebbcadb711e2c43fd62eeabfc31871c54ec957544c2e3a3193075,True,True
Claude Haiku 4.5,find_maximum_subarray_kadane,4,1,c1e578c9260b85fb9792f3726db5d1f0404463088c6ac47a5d0f288916fa8a43,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,33,8,27859cf50b0fe05d197b0af94069db3b3087a05e127a426dc521b27373ee61c4,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,32,7,9e7932c0830a6d38b9fea1aeff827895166e75154441395d189bf7f285e5c0d3,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,41,11,22c7f8e73598359a29c98c4da3d7d96b63b6458f932f62b2506a2e845246a394,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,37,9,55871d6da91ff495e84799d5db81df5b0f65eb4e36fd5efdfeb484a70e40f5bb,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,22,6,1a6f17561ab81f4290f5b9aa7c359b624d4ad8d80ce7d93adc7f9aa3564c4c61,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,5,2,f5072aa35f0bf31452066884c69f51854546f75086adbea18c81111fcb8a1c86,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,43,13,434359be53fc00a3e0508401dd30bd3623e50cec0b9fd011b4f6c697a9eaaf8e,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,38,10,83ea1a68fca2fe642170d6a61a5e74452f40fb044fcdea99ecfa14ea9b39b6d3,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,42,12,0151bf1db791a73225dfcebcd92a8133ff78ee0c8f07dfbd99daadd55df19898,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,21,5,9747a1342a81dcc8d9d73ce1f011909db6b5f162e600bdf9225395ac4c774325,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,50,15,be6472e49468f985ea400eda767d475cdda429e3c95daa0ae9c2fcc859c0d61a,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,52,16,ba0616d3b9b17c5a289558d5047ad4ea4c3445a41a6c6b5da003768b86a93721,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,44,14,8d8333e94cdbb08bde9a59242e686ad739bad1af8c175a6836885bc2ba29666d,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,12,3,0c3c7bd31f6dd59670495bd343321d1710e58b9707983068ac14d38052301e66,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,53,17,b5b9fd9391c2b727fd9b8345dded984276b93aee4cc5aac03cb85f47d146ff45,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,54,18,f39f3902d0668ea9ce29ab9b6fb42a50991e8a3948f62b6b8a23d88c54a00a10,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,56,19,396a48c84dbfbd4aff51e50f83d122baa2cbaf645a1976b71c98cbd62430c979,False,False
Claude Haiku 4.5,floyd_warshall,10,3,f179dca34957dff1da8f396667480a52775f253e3242a0bba9d74c462a18ff50,False,False
Claude Haiku 4.5,find_maximum_subarray_kadane,62,20,a92c99d31d4ee88ac6a2587f5a655504ae8379a890db85fafa1a32b378fdea1a,False,False
Claude Haiku 4.5,floyd_warshall,5,2,a2df9e56e234f2bbeff13cddb356e7e2546a2994f4cf71f019428e6ff518432d,False,False
Claude Haiku 4.5,floyd_warshall,4,1,16a986ea8b38f009ead28286f374f6b4d0a3050794b213c84d29b991d7d2537b,False,False
Claude Haiku 4.5,gcp,0,3,d23168001c3186c18a203999276626c64bff1cd8c1f1fed4f7fa605009a54b49,True,True
Claude Haiku 4.5,gcp,0,8,8b9ec33eb406ebefbe8c3b2fe1a518ab361748eeff5a98d3e93ea0fb723b10ab,False,True
Claude Haiku 4.5,gcp,0,1,30d393a77424e14abd8697caa2bb2948899ea6f10870606130fd59bf6d92070c,False,False
Claude Haiku 4.5,gcp,0,4,47ce11878bca2cb649fa9bec2d314e51e96dbe3b8751e7d9c19f5eadc689b047,True,True
